,pack_name,brand_0,brand_1,pieces_0,pieces_1,diff_0,diff_1,num_puzzles,diff_0_num,diff_1_num
92,DaVici Red Book ,DaVici,,700.0,,Hard,,1.0,3.0,
93,DaVici Tree of Dreams DaVici Bathing of the Colorful Dragon,DaVici,,193.0,125.0,A-Easy,A-Easy,2.0,1.0,1.0
94,DaVici Tribute to Rembrandt DaVici Friendship Day,DaVici,,270.0,180.0,A-Easy,A-Easy,2.0,1.0,1.0
95,Davici Puzzles Claude Monet Woman in the Garden ,DaVici,,552.0,,A-Easy,,1.0,1.0,
96,Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,DaVici,,180.0,330.0,A-Easy,A-Easy,2.0,1.0,1.0
97,Davici Puzzles Mirage Davici Puzzles Golden Sun,DaVici,,250.0,240.0,A-Easy,A-Easy,2.0,1.0,1.0
98,Davici Puzzles Noahs Ark Davici Puzzles Wisteria Moon,DaVici,,210.0,250.0,A-Easy,A-Easy,2.0,1.0,1.0
99,Davici Puzzles Photo Album Ecru Puzzles Sunny November ,DaVici,Ecru,600.0,369.0,Average,Average,2.0,2.0,2.0
100,Davici Puzzles Seasons ,DaVici,,500.0,,Average,,1.0,2.0,
101,"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!",DaVici,,135.0,150.0,A-Easy,A-Easy,2.0,1.0,1.0
102,Davici Puzzles Watchmaker ,DaVici,,400.0,,Average,,1.0,2.0,
103,Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,DaVici,,130.0,190.0,A-Easy,Average,2.0,1.0,2.0
104,Davici Puzzles Zodiac Capricorn Davici Puzzles Zodiac Pisces,DaVici,,100.0,100.0,Average,Average,2.0,2.0,2.0
105,David Mullett Puzzles Isle Of Skye Press Puzzles Indiana By County,,,361.0,,,,1.0,2.0,
106,Dowdle Nativity Dowdle Oregon State Beavers,Other-Laser-cut,,280.0,300.0,Average,Average,2.0,2.0,2.0
107,Dowdle Puzzles New Orleans Dowdle Puzzles Nativity,Other-Laser-cut,,280.0,280.0,Hard,A-Easy,2.0,3.0,1.0
108,Dreamton Puzzles Christmas Shop Dreamton Puzzles Christmas Town,,,361.0,,,,1.0,2.0,
109,Dreamton Puzzles Underwater Pirate Treasure in Ocean Dreamton Puzzles Harvest Pumpkins,,,361.0,,,,1.0,2.0,
110,Ecru Mystery Puzzle #9 Artifact Puzzles Eric Joyner Gangenstein,Artifact,Ecru,223.0,159.0,A-Easy,A-Easy,2.0,1.0,1.0
111,Ecru Puzzles Aaron Wolf Siege Of Cranes Ecru Puzzles Aaron Wolf Lost Civilization,Ecru,,437.0,447.0,Hard,Hard,2.0,3.0,3.0
112,Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,Artifact,Ecru,426.0,258.0,Hard,Hard,2.0,3.0,3.0
113,Ecru Puzzles Franz Marc Cat  Artifact Puzzles Franz Marc 1912 Blue Horse,,,361.0,,,,1.0,2.0,
114,Ecru Puzzles Nueve ,,,361.0,,,,1.0,2.0,
115,Ecru Puzzles Piet Mondrian Oostzijdse Mill Artifact Puzzles Kessel Butterflies,Artifact,Ecru,181.0,161.0,A-Easy,A-Easy,2.0,1.0,1.0
116,Ecru Puzzles Ragamala Mughal Miniature Artifact Puzzles Piet Mondrian,Artifact,Ecru,80.0,153.0,A-Easy,Average,2.0,1.0,2.0
117,Ecru Puzzles Ton Dubbeldam Grand Italia Artifact Puzzles Michelle Morin Hummingbirds,Artifact,Ecru,270.0,287.0,A-Easy,Really-Hard,2.0,1.0,4.0
118,Elms Puzzles The Blue Gate Artifact Puzzles Kozyndan Forest Dream,Artifact,,640.0,216.0,Average,Average,2.0,2.0,2.0
119,Fools Gold Baffling Butterflies Joyful Nook Gallery Puzzles Thankful,,,100.0,153.0,Average,Average,2.0,2.0,2.0
120,Fox Smart Box Gustav Klimt Kiss Fox Smart Box Butterflies Challenge,,,311.0,216.0,Average,Average,2.0,2.0,2.0
121,FoxSmartBox Fairy Forest Summer FoxSmartBox Fairy Forest Winter,,,505.0,434.0,Average,Average,2.0,2.0,2.0
122,FoxSmartBox Tree Of Angels FoxSmartBox Visiting The Bear,,,400.0,400.0,Average,Average,2.0,2.0,2.0
123,Hellofish Piet Mondrian Hellofish Azulejo Tiles,Other-Laser-cut,,300.0,300.0,Really-Hard,Average,2.0,4.0,2.0
124,Hope Puzzles Van Gogh  Padma Puzzles Dreamy Cat,,,361.0,,,,1.0,2.0,
125,II Ravens Puzzles Claude Monet Bridge At Argenteuil Zen Puzzles Sea Glass,Other-Laser-cut,,121.0,125.0,Average,Average,2.0,2.0,2.0
126,Inside Adventure Helen Dryden The Southern Sun Zen Puzzles Chickadee,Other-Laser-cut,,571.0,100.0,Average,Average,2.0,2.0,2.0
127,Inside Adventure Odilon Redon Butterflies Peaceful Puzzles Green Heron ,Other-Laser-cut,,604.0,260.0,Average,Average,2.0,2.0,2.0
128,Joyful Nook Gallery Christmas Cheer Joyful Nook Gallery The Christmas Crew,,,236.0,201.0,Average,Average,2.0,2.0,2.0
129,Joyful Nook Puzzles Bettina Mills Coming Home ,,,700.0,,Average,,1.0,2.0,
130,Kata Kissoczy Puzzles Hands Shayz Puzzles Double Bouquet,,,80.0,59.0,Really-Hard,Average,2.0,4.0,2.0
