,name,pieces_d1,pieces_d2,pieces_d3,pieces_d4,num_puzzles
192,Artifact Puzzles Louis Wain Cattown Races Artifact Puzzles Gerhard Munthe The Princess And The Knight,155.0,0.0,0.0,0.0,2
193,Artifact Puzzles Marie Amalia Pride Of Peacocks Artifact Puzzles DALL-E Animals In Motion,0.0,449.0,0.0,0.0,2
194,Artifact Puzzles Monet Chrysanthemums Artifact Puzzles Nadieh Bremer Color Dream,0.0,403.0,262.0,0.0,2
195,Artifact Puzzles Nadiezda Night Ship Artifact Puzzles Kevin Sloan Consequences of Hypnosis,565.0,0.0,0.0,0.0,2
196,Artifact Puzzles Paul Bond The Giver Artifact Puzzles Miskin Dilaram Harp,0.0,0.0,929.0,0.0,2
197,Artifact Puzzles Piero Di Cosimo Liberazione Di Andromeda Artifact Puzzles Joe Vaux Season Of The Rabbit,300.0,0.0,411.0,0.0,2
198,Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,241.0,0.0,0.0,0.0,2
199,Artifact Puzzles Richard Friend Live Work Hope Artifact Puzzles Kristian Adam Mr. Pinks Place,380.0,0.0,0.0,0.0,2
200,Artifact Puzzles Roch Urbaniak Atlantyda Artifact Puzzles Edvard Munch Dance On The Beach,300.0,299.0,0.0,0.0,2
201,Artifact Puzzles Tomasz Pietrzyk The Town Artifact Puzzles Qiu Ying Han Palace,390.0,0.0,423.0,0.0,2
202,Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Iwona Lifsches Jazzy Night,0.0,518.0,405.0,0.0,2
203,Artifact Puzzles Tomasz Pietrzyk Whole City Aquatic Moving Company Artifact Puzzles Kahlil Rintye Cosmic Dragon,0.0,518.0,504.0,0.0,2
204,Artifact Puzzles Tyukanov Purgatory Artifact Puzzles Rylov Sunset,0.0,0.0,739.0,0.0,2
205,Artifact Puzzles Van Gogh Bedroom In Arles Artifact Puzzles Bruegel Triumph of Death,0.0,708.0,0.0,0.0,2
206,Artifact Puzzles Van Gogh Pont De Trinquetaille Artifact Puzzles Vermeer Art Of Painting,0.0,650.0,0.0,0.0,2
207,Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,0.0,757.0,0.0,0.0,2
208,Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility,292.0,382.0,0.0,0.0,2
209,Artifact Puzzles Vikram Madan Stop And Smell The Daisies Ecru Puzzles Ryoko Meditating Skeleton,0.0,252.0,0.0,0.0,2
210,BCB Puzzles Miko The Jazz Frog Choir Artifact Puzzles Iwona Lifsches Poohsticks,537.0,0.0,0.0,0.0,2
211,BCB Puzzles Teapot and Teacups Snowflake Puzzles Koganeibashi no sekishō,511.0,120.0,0.0,0.0,2
212,BellArt Ice Cream Sundae Turtle Teasers Sarah Pickett Red River,0.0,227.0,0.0,0.0,2
213,Bewilderness Puzzles Rainbow Eucalyptus Bewilderness Puzzles Gaj Vakra,0.0,346.0,0.0,0.0,2
214,Boardwalk Puzzles Alexey Erofalov Amsterdam Boardwalk Puzzles Alexey Erofalov Australia,0.0,629.0,0.0,0.0,2
215,Boardwalk Puzzles Alexey Erofalov California Boardwalk Puzzles Lake Como Italy,652.0,0.0,0.0,0.0,2
216,Boardwalk Puzzles Tim Zeltner Journey East Boardwalk Puzzles Herb Schwartz New Animal Butterfly,0.0,790.0,0.0,0.0,2
217,Chestnut And Hemlock Puzzles Mary Halym Two Apples On A Branch 3 Cat Max Puzzles,0.0,137.0,0.0,0.0,2
218,Chestnut and Hemlock Helen Hyde Feeding The Bunnies Chestnut and Hemlock Joris Hoefnagel Heart,0.0,350.0,0.0,0.0,2
219,Chris Yates Remote Archipelago BCB Puzzles The Hat Shop,150.0,61.0,0.0,0.0,2
220,Culmo.Co Happy Panda Culmo.Co Terrible T-Rex,0.0,876.0,0.0,0.0,2
221,Culmo.Co Puzzles Rainbow Dragon Lol Puzzles Mysterious Owl,0.0,468.0,0.0,0.0,2
222,DaVici Good Morning DaVici The Life of Birds,315.0,0.0,0.0,0.0,2
223,DaVici In the Pantry DaVici Yana Fefelova Christmas Angel,130.0,250.0,0.0,0.0,2
224,DaVici Puzzles Akhmatova Return DaVici Puzzles Fairy Tea Party,510.0,0.0,0.0,0.0,2
225,DaVici Puzzles Bathing Of The Colorful Dragon DaVici Puzzles Behind The Scenes (Aka Offstage),0.0,315.0,0.0,0.0,2
226,DaVici Puzzles Cow Ruga Puzzles Egyptian Cat,0.0,321.0,0.0,0.0,2
227,DaVici Puzzles Delicious Snow DaVici Puzzles Doll House,390.0,0.0,0.0,0.0,2
228,DaVici Puzzles Full Moon Feast DaVici Puzzles World&#39;s Greatest Miracle,0.0,0.0,415.0,0.0,2
229,DaVici Puzzles Great Art of Light and Shadow DaVici Dreamlike Prince,180.0,160.0,0.0,0.0,2
230,DaVici Puzzles Heavenly Postman DaVici Puzzles A.P. Chehov,0.0,430.0,0.0,0.0,2
231,DaVici Puzzles Ivan Tsarevich and The Grey Wolf DaVici Puzzles Masha Molodykh Offstage,0.0,370.0,0.0,0.0,2
232,DaVici Puzzles Jugglers DaVici Puzzles Pushkins Fairy Tales,0.0,510.0,0.0,0.0,2
233,DaVici Puzzles Meal Time DaVici Puzzles Attraction,400.0,240.0,0.0,0.0,2
234,DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish,295.0,0.0,0.0,0.0,2
235,DaVici Puzzles Sergey Adeev Flying Frigate DaVici Puzzles The Life Of Birds,0.0,275.0,0.0,0.0,2
236,DaVici Puzzles Stephen Hawking DaVici Puzzles A Flower in the Soul,0.0,470.0,0.0,0.0,2
237,DaVici Puzzles Vladimir Zhdanov Lilac House DaVici Puzzles Sergey Adeev Day and Night,440.0,0.0,0.0,0.0,2
238,DaVici Tree of Dreams DaVici Bathing of the Colorful Dragon,318.0,0.0,0.0,0.0,2
239,DaVici Tribute to Rembrandt DaVici Friendship Day,450.0,0.0,0.0,0.0,2
240,Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,510.0,0.0,0.0,0.0,2
241,Davici Puzzles Mirage Davici Puzzles Golden Sun,490.0,0.0,0.0,0.0,2
242,Davici Puzzles Noahs Ark Davici Puzzles Wisteria Moon,460.0,0.0,0.0,0.0,2
243,"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!",285.0,0.0,0.0,0.0,2
244,Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,130.0,190.0,0.0,0.0,2
245,Davici Puzzles Zodiac Capricorn Davici Puzzles Zodiac Pisces,0.0,200.0,0.0,0.0,2
